step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,guaman-poma-nueva,0.5,0.5,1,,What is this?,"This image depicts a large, rectangular wooden vessel with internal levels, floating on floodwaters, filled with a man and animals.",,,,,,,,
2,guaman-poma-nueva,0.5,0.5,1,,What emotions do the animals convey?,"The animals seem to be smiling, conveying relief, hope, and gladness.",,,,,,,,
3,guaman-poma-nueva,0.5,0.5,1,,What emotion does the man seem to convey?,"The man seems to be displaying a face of relief, exclaiming with his hands and mouth. In this, he looks towards the sky and seems to be giving praise to God.",,,,,,,,
4,guaman-poma-nueva,0.5,0.5,1,,What does the man seem to be doing with his hands?,The man in the image looks like he has his hands open in a gesture of prayer or praise hands because he is expressing gratitude.,,,,,,,,
5,guaman-poma-nueva,0.5,0.5,1,,What story is being illustrated in this picture to the interpreter?,"The interpreter can perceive that this image is an illustration of the story of Noah's Ark from the Bible because it clearly shows a man in a wooden vessel filled with animals. In addition to this, the image depicts how the wooden vessel is floating on an otherwise torrential flood. The animals and the man all seem to convey gladness and relief as the man is kneeling down, with his hands open and to the sky, opening his mouth to give praise to the Lord.",,,,,,,,
